,Symbol,Security,GICS Sector,GICS Sub Industry,Headquarters Location
371,PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York"
372,PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts"
373,PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland"
374,PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York"
375,PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York"
376,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas"
377,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona"
378,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas"
379,PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
380,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania"
381,PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania"
382,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa"
383,PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio"
384,PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio"
385,PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California"
386,PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey"
387,PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,"Newark, New Jersey"
388,PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California"
389,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia"
390,PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
391,QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina"
392,PWR,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas"
393,QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California"
394,DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey"
395,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
396,RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida"
397,RTX,Raytheon Co.,Industrials,Aerospace & Defense,"Waltham, Massachusetts"
398,O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California"
399,REG,Regency Centers Corporation,Real Estate,Retail REITs,"Jacksonville, Florida"
400,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York"
401,RF,Regions Financial Corp.,Financials,Regional Banks,"Birmingham, Alabama"
402,RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,"Phoenix, Arizona"
403,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California"
404,RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California"
405,ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin"
406,ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,"Atlanta, Georgia"
407,ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida"
408,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California"
409,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
410,SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York"
411,CRM,Salesforce.com,Information Technology,Application Software,"San Francisco, California"
412,SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida"
413,SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands"
414,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland"
415,SEE,Sealed Air,Materials,Paper Packaging,"Charlotte, North Carolina"
416,SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California"
417,NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California"
418,SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio"
419,SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana"
420,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts"
421,SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York"
422,SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin"
423,SO,Southern Co.,Utilities,Electric Utilities,"Atlanta, Georgia"
424,LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas"
425,SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut"
426,SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington"
427,STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts"
428,STE,STERIS plc,Health Care,Health Care Equipment,"Dublin, Ireland"
429,SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan"
430,SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California"
431,SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut"
432,SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California"
433,SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas"
434,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington"
435,TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland"
436,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York, New York"
437,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
438,TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota"
439,TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland"
440,FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,"London, United Kingdom"
441,TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania"
442,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas"
443,TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island"
444,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts"
445,TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
446,TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts"
447,TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee"
448,TT,Trane Technologies plc,Industrials,Building Products,"Dublin, Ireland"
449,TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio"
450,TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York"
451,TFC,Truist Financial,Financials,Regional Banks,"Charlotte, North Carolina"
452,TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California"
453,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas"
454,UDR,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado"
455,ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois"
456,USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota"
457,UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland"
458,UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland"
459,UNP,Union Pacific Corp,Industrials,Railroads,"Omaha, Nebraska"
460,UAL,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois"
461,UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota"
462,UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia"
463,URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
464,UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania"
465,UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee"
466,VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina"
467,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas"
468,VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California"
469,VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois"
470,VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia"
471,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey"
472,VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York, New York"
473,VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts"
474,VIAC,ViacomCBS,Communication Services,Movies & Entertainment,"New York, New York"
475,V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,"San Francisco, California"
476,VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York"
477,VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama"
478,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut"
479,WAB,Wabtec Corporation,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania"
480,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas"
481,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois"
482,DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California"
483,WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas"
484,WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts"
485,WEC,Wec Energy Group Inc,Utilities,Electric Utilities,"Milwaukee, Wisconsin"
486,WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California"
487,WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio"
488,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California"
489,WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado"
490,WRK,WestRock,Materials,Paper Packaging,"Richmond, Virginia"
491,WY,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington"
492,WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan"
493,WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
494,WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom"
495,WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada"
496,XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota"
497,XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut"
498,XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California"
499,XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York"
500,YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky"
501,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois"
502,ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana"
503,ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah"
504,ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey"
